Site Name,Suburb,Latitude,Longitude,Direction of travel to be monitored,Site Type,Location Code
"Woodcock Drive, Gordon",Gordon,-35.4502731,149.0827983,E,Transportable Site,7071
"Canberra Avenue, Jerrabomberra",Jerrabomberra,-35.3429594,149.1924158,E,Transportable Site,7010
"Cotter Road, Weston",Weston,-35.320546,149.0612186,E,Transportable Site,7041
"Adelaide Avenue, Yarralumla",Yarralumla,-35.3093809,149.1183925,E,Transportable Site,7001
"William Hovel Drive, Molonglo Valley",Molonglo Valley,-35.2741815,149.0638428,E,Transportable Site,7003
"Belconnen Way, Bruce",Bruce,-35.2519489,149.0811658,E,Transportable Site,7025
"Belconnen Way, Belconnen",Belconnen,-35.2484508,149.070095,E,Transportable Site,7023
"Ginninderra Drive, Kaleen",Kaleen,-35.2435108,149.1133302,E,Transportable Site,7099
"Ginninderra Drive, Evatt",Evatt,-35.220147,149.0586775,E,Transportable Site,7027
"Ginninderra Drive, Melba",Melba,-35.2194844,149.0507667,E,Transportable Site,7034
"Southern Cross Drive, Macgregor",Macgregor,-35.2178758,149.0060133,E,Transportable Site,7067
"Well Station Drive, Franklin",Franklin,-35.2079775,149.1443144,E,Transportable Site,7095
"Kuringa Drive, Belconnen",Belconnen,-35.1919473,149.0643239,E,Transportable Site,7086
"Tharwa Drive, Gordon",Gordon,-35.4695035,149.0909932,N,Transportable Site,7073
"Erindale Drive, Wanniassa",Wanniassa,-35.3975342,149.104902,N,Transportable Site,7054
"Erindale Drive, Tuggeranong",Tuggeranong,-35.3915886,149.1094601,N,Transportable Site,7039
"Athllon Drive, Tuggeranong",Tuggeranong,-35.3800152,149.0932409,N,Transportable Site,7103
"Yamba Drive, Mawson",Mawson,-35.3610159,149.1044772,N,Transportable Site,7040
"Yamba Drive, Phillip",Phillip,-35.3401205,149.09282,N,Transportable Site,7002
"Kings Highway, Kowen",Kowen,-35.3320528,149.3393737,N,Transportable Site,7049
"Tuggeranong Parkway, Weston",Weston,-35.315053,149.0626251,N,Transportable Site,7011
"Monaro Highway, Fyshwick",Fyshwick,-35.3116887,149.1690984,N,Transportable Site,7048
"Majura Parkway, Pialligo",Pialligo,-35.2945734,149.1798959,N,Transportable Site,7038
"Bindubi Street, Belconnen",Belconnen,-35.2745849,149.075736,N,Transportable Site,7021
"Majura Parkway, Majura",Majura,-35.2625711,149.187262,N,Transportable Site,7037
"Haydon Drive, Bruce",Bruce,-35.243949,149.0907636,N,Transportable Site,7028
"Gungahlin Drive, Kaleen",Kaleen,-35.2421102,149.1108177,N,Transportable Site,7096
"Kingsford Smith Drive, Higgins",Higgins,-35.2405153,149.0293814,N,Transportable Site,7032
"Baldwin Drive, Lawson",Lawson,-35.2325266,149.0927071,N,Transportable Site,7029
"John Cleland Crescent, Florey",Florey,-35.2237408,149.05503,N,Transportable Site,7019
"Flemington Road, Mitchell",Mitchell,-35.2145622,149.1461517,N,Transportable Site,7008
"Flemington Road, Franklin",Franklin,-35.2045613,149.1482469,N,Transportable Site,7082
"Woodcock Drive, Gordon",Gordon,-35.4401222,149.0881951,NE,Transportable Site,7072
"Kings Avenue, Parkes",Parkes,-35.3045859,149.1331655,NE,Transportable Site,7053
"Well Station Drive, Harrison",Harrison,-35.2074017,149.1615985,NE,Transportable Site,7094
"Gundaroo Drive, Belconnen",Belconnen,-35.2035998,149.0901398,NE,Transportable Site,7035
"Horse Park Drive, Casey",Casey,-35.1584934,149.1028512,NE,Transportable Site,7089
"Monaro Highway, Theodore",Theodore,-35.4382182,149.1265384,NW,Transportable Site,7077
"Drakeford Drive, Greenway",Greenway,-35.4141883,149.073767,NW,Transportable Site,7018
"Pialligo Avenue, Majura",Majura,-35.3248419,149.2217609,NW,Transportable Site,7046
"Eastern Valley Way, Belconnen",Belconnen,-35.24457,149.0736568,NW,Transportable Site,7070
"Drake-Brockman Drive, Higgins",Higgins,-35.2361946,149.023155,NW,Transportable Site,7068
"Ginninderra Drive, Florey",Florey,-35.2209309,149.0606597,NW,Transportable Site,7065
"Ginninderra Drive, Macgregor",Macgregor,-35.2039597,149.0240126,NW,Transportable Site,7064
"Barton Highway, Belconnen",Belconnen,-35.1989065,149.0910665,NW,Transportable Site,7085
"Horse Park Drive, Harrison",Harrison,-35.1984125,149.1635727,NW,Transportable Site,7093
"Horse Park Drive, Gungahlin",Gungahlin,-35.1838357,149.1528378,NW,Transportable Site,7092
"Barton Highway, Belconnen",Belconnen,-35.1799437,149.0713952,NW,Transportable Site,7036
"Barton Highway, Hall",Hall,-35.1791076,149.0697795,NW,Transportable Site,7087
"Monaro Highway, Tuggeranong",Tuggeranong,-35.4628598,149.1345431,S,Transportable Site,7051
"Drakeford Drive, Calwell",Calwell,-35.440434,149.0941982,S,Transportable Site,7074
"Drakeford Drive, Isabella Plains",Isabella Plains,-35.4308204,149.0875689,S,Transportable Site,7075
"Monaro Highway, Hume",Hume,-35.4043678,149.146317,S,Transportable Site,7050
"Athllon Drive, Greenway",Greenway,-35.4009562,149.0658021,S,Transportable Site,7013
"Athllon Drive, Tuggeranong",Tuggeranong,-35.3789976,149.0937313,S,Transportable Site,7105
"Monaro Highway, Hume",Hume,-35.3732306,149.1685278,S,Transportable Site,7080
"Athllon Drive, Mawson",Mawson,-35.3665138,149.0927315,S,Transportable Site,7106
"Canberra Avenue, Fyshwick",Fyshwick,-35.3347016,149.1701015,S,Transportable Site,7024
"Yarra Glen, Deakin",Deakin,-35.3246947,149.0881832,S,Transportable Site,7044
"Commonwealth Avenue, Parkes",Parkes,-35.2967363,149.1265963,S,Transportable Site,7022
"Bindubi Street, Belconnen",Belconnen,-35.2649435,149.0745173,S,Transportable Site,7069
"Coulter Drive, Belconnen",Belconnen,-35.2646383,149.0556493,S,Transportable Site,7033
"Majura Parkway, Majura",Majura,-35.252655,149.1879969,S,Transportable Site,7052
"Gungahlin Drive, Bruce",Bruce,-35.2462689,149.110644,S,Transportable Site,7098
"Federal Highway, Watson",Watson,-35.2319318,149.1499619,S,Transportable Site,7045
"Coulter Drive, Belconnen",Belconnen,-35.2270019,149.060658,S,Transportable Site,7020
"Kingsford Smith Drive, Melba",Melba,-35.2168303,149.0444779,S,Transportable Site,7016
"Gungahlin Drive, Gungahlin",Gungahlin,-35.2000711,149.132338,S,Transportable Site,7101
"Clarrie Hermes Drive, Nicholls",Nicholls,-35.1812215,149.0781782,S,Transportable Site,7088
"Horse Park Drive, Forde",Forde,-35.1755379,149.1399987,S,Transportable Site,7007
"Monaro Highway, Tuggeranong",Tuggeranong,-35.4786414,149.1458315,SE,Transportable Site,7078
"Drakeford Drive, Isabella Plains",Isabella Plains,-35.425559,149.080528,SE,Transportable Site,7017
"Yamba Drive, Isaacs",Isaacs,-35.3790583,149.1158039,SE,Transportable Site,7056
"Monaro Highway, Symonston",Symonston,-35.3559459,149.1671039,SE,Transportable Site,7081
"Yamba Drive, Hughes",Hughes,-35.3356496,149.0879807,SE,Transportable Site,7057
"Southern Cross Drive, Florey",Florey,-35.2340542,149.0532762,SE,Transportable Site,7066
"Ginninderra Drive, Flynn",Flynn,-35.2152961,149.0405511,SE,Transportable Site,7063
"Barton Highway, Crace",Crace,-35.2075679,149.1062544,SE,Transportable Site,7083
"Barton Highway, Nicholls",Nicholls,-35.1973689,149.0905636,SE,Transportable Site,7084
"Gungahlin Drive, Gungahlin",Gungahlin,-35.1915549,149.1263952,SE,Transportable Site,7102
"Horse Park Drive, Throsby",Throsby,-35.1860493,149.1582069,SE,Transportable Site,7091
"Horse Park Drive, Taylor",Taylor,-35.1531308,149.1209406,SE,Transportable Site,7090
"Erindale Drive, Tuggeranong",Tuggeranong,-35.4137716,149.0813888,SW,Transportable Site,7055
"Athllon Drive, Wanniassa",Wanniassa,-35.3881883,149.0889472,SW,Transportable Site,7104
"Monaro Highway, Hume",Hume,-35.387738,149.1679802,SW,Transportable Site,7079
"Gungahlin Drive, Bruce",Bruce,-35.2555866,149.0924881,SW,Transportable Site,7097
"Haydon Drive, Bruce",Bruce,-35.2526994,149.087184,SW,Transportable Site,7030
"Johnson Drive, Richardson",Richardson,-35.4334604,149.1086518,W,Transportable Site,7076
"Erindale Drive, Monash",Monash,-35.4068238,149.0995668,W,Transportable Site,7026
"Hindmarsh Drive, Phillip",Phillip,-35.34908,149.0874962,W,Transportable Site,7012
"Hindmarsh Drive, O'Malley",O'Malley,-35.3475489,149.1078759,W,Transportable Site,7009
"Hindmarsh Drive, Rivett",Rivett,-35.3418304,149.0443585,W,Transportable Site,7107
"Pialligo Avenue, Majura",Majura,-35.319915,149.206086,W,Transportable Site,7047
"Yarra Glen, Deakin",Deakin,-35.3144169,149.0958697,W,Transportable Site,7058
"Cotter Road, Curtin",Curtin,-35.3127811,149.0843379,W,Transportable Site,7043
"Cotter Road, Curtin",Curtin,-35.3125158,149.087601,W,Transportable Site,7042
"Parkes Way, Acton",Acton,-35.2833927,149.1081633,W,Transportable Site,7015
"William Hovell Drive, Molonglo Valley",Molonglo Valley,-35.2773229,149.0783156,W,Transportable Site,7031
"Belconnen Way, Macquarie",Macquarie,-35.2488216,149.0705587,W,Transportable Site,7060
"Belconnen Way, Macquarie",Macquarie,-35.2458302,149.0621443,W,Transportable Site,7004
"Belconnen Way, Macquarie",Macquarie,-35.244017,149.0582524,W,Transportable Site,7059
"Ginninderra Drive, Bruce",Bruce,-35.243685,149.1133237,W,Transportable Site,7062
"Ginninderra Drive, Bruce",Bruce,-35.238972,149.1022708,W,Transportable Site,7061
"Southern Cross Drive, Page",Page,-35.2354878,149.0559658,W,Transportable Site,7005
"Ginninderra Drive, Florey",Florey,-35.2211067,149.0608052,W,Transportable Site,7014
"Ginninderra Drive, Latham",Latham,-35.206595,149.030863,W,Transportable Site,7108
"Gundaroo Drive, Crace",Crace,-35.1978273,149.1038754,W,Transportable Site,7006
"Gungahlin Drive, Mitchell",Mitchell,-35.2107489,149.1323974,S,Fixed Site,7100
