road_name,ausrap_section_id,veh_str_rating_smoothed,survey_date,road_type,OBJECTID,SHAPE_Length
0000001-PRINCES HIGHWAY,2,3,20150320,State,1,4994.837225
0000005-GREAT WESTERN HIGHWAY,8,3,20130921,State,2,1207.09093
0000055-BLACK STUMP WAY,1,2,20220210,Regional,3,3400.606912
0000535-ELIZABETH DR,1,2,20160203,State,4,722.6476979
"0000057-GOLDFIELDS WAY, THE GIPPS WAY, FIFIELD RD, THE BOGAN WAY",1,2,20150219,State,5,32689.89785
"0000217-WANGI RD,LAKE RD",6,4,20160308,State,6,1194.316943
"0000070-GOODOOGA RD,ARTHUR HALL VC WAY",1,3,20150910,State,7,23883.52129
0000083-SUMMERLAND WAY,3,4,20150918,State,8,113.4942885
"0000243-CANOLA WAY,NANGUS RD,GUNDAGAI RD",2,3,20211028,Regional,9,6128.864429
0000005-GREAT WESTERN HIGHWAY,1,3,20151010,State,10,240.8801065
0000010-PACIFIC HIGHWAY,15,3,20211113,State,11,3412.675898
"0000564-BERRIGAN RD,JERILDERIE RD",1,3,20211118,Regional,12,16276.89185
"0000347-TRANGIE DANDALOO RD,TRANGIE COLLIE RD,COLLIE TRANGIE RD",1,2,20220209,Regional,13,3549.850517
0000165-WESTERN DISTRIBUTOR,4,3,20161202,State,14,7837.642005
"0000101-STROUD HILL RD,DUNGOG RD,TOCAL RD",1,4,20220406,Regional,15,118.9530386
"0000184-BELLS LINE OF RD,WINDSOR RD",2,4,20151130,State,16,1681.413086
0000007-MITCHELL HIGHWAY,3,3,20201025,State,17,10444.48488
0000018-CASTLEREAGH HIGHWAY,1,1,20150914,State,18,7151.921871
0000029-KAMILAROI HIGHWAY,4,2,20220203,State,19,31146.25233
"0000599-EASTERN VALLEY WAY,MILLER ST,STRATHALLEN AV",1,3,20161128,State,20,602.9806227
"0000183-GARDENERS RD,RAINBOW ST",2,3,20151209,State,21,483.3515905
0000215-BYLONG VALLEY WAY,1,2,20211220,Regional,22,3574.068105
"0007164-PALMYRA AV,EIGHTH AV,NINTH AV",1,3,20210921,Regional,23,4618.096796
0000014-STURT HIGHWAY,2,3,20160119,State,24,2033.523017
0006003-M1 PACIFIC MOTORWAY,1,1,20160307,State,25,3611.038263
0000016-BRUXNER HIGHWAY,2,1,20140218,State,26,22808.31232
"0000231-WYALONG RD,LAKE RD",1,3,20211031,Regional,27,26098.59291
"0000326-TURTON RD,NORTHCOTT DR,BRIDGES RD",1,3,20160308,State,28,2033.778337
0000410-KIDMAN WAY,1,2,20140905,State,29,9568.059132
"0000208-WOLLAR RD,BYLONG VALLEY WAY",1,2,20220208,Regional,30,7112.746016
"0000181-WOLLOMBI RD,GREAT NORTH RD,ST ALBANS RD",1,1,20220421,Regional,31,7182.707175
"0000630-LONDONDERRY RD,CASTLEREAGH RD,CRANEBROOK RD",2,3,20161102,State,32,1085.635265
"0000522-SHELLHARBOUR RD,WINDANG RD,KING ST",1,2,20160303,State,33,243.488856
0000016-BRUXNER HIGHWAY,2,3,20140218,State,34,683.9631598
0007742-WYRALLAH RD,1,3,20220704,Regional,35,2790.82353
