id,state,type,provider_id,provider_type,name,road_name,reported_location,locality,direction_of_travel,heavy_vehicle_area,paved,toilet,disabled_toilet,lighting,shelter,water,bin,table_or_chair,bbq,shade,power,off_the_road,waste_water,comments,latitude,longitude,dt_created,geom
45,"TAS","Formal","1","Heavy Vehicle Parking Areas",,"Midland Highway",,"Springhill","Southbound","Y",,"N",,,,,"N","N","N",,,,,,-42.41233999,147.26280539999999,2022-07-04 15:34:14.2700000,POINT (147.2628054 -42.41233999)
46,"TAS","Formal","10","Heavy Vehicle Parking Areas",,"Southern Outlet Hwy",,"Near Kingston","Southbound","Y",,"N",,,,,"N","N","N",,,,,,-42.958457330000002,147.3124579,2022-07-04 15:34:14.2700000,POINT (147.3124579 -42.95845733)
273,"TAS","Formal","11","Heavy Vehicle Parking Areas",,"Lyell Highway",,"Hayes Weighbridge","Northbound","Y",,"N",,,,,"N","N","N",,,,,,-42.746933519999999,146.9866988,2022-07-04 15:34:14.2700000,POINT (146.9866988 -42.74693352)
485,"TAS","Formal","12","Heavy Vehicle Parking Areas",,"Lyell Highway",,"Meadowbank Dam TO","Northbound","Y",,"N",,,,,"N","N","N",,,,,,-42.595125920000001,146.8843416,2022-07-04 15:34:14.2700000,POINT (146.8843416 -42.59512592)
499,"TAS","Formal","13","Heavy Vehicle Parking Areas",,"Lyell Highway",,"Ouse","Southbound","Y",,"N",,,,,"N","N","N",,,,,,-42.476404010000003,146.7044143,2022-07-04 15:34:14.2700000,POINT (146.7044143 -42.47640401)
512,"TAS","Formal","14","Heavy Vehicle Parking Areas",,"Lyell Highway",,"Bronte Canal","Westbound","Y",,"N",,,,,"N","N","N",,,,,,-42.179984480000002,146.50157590000001,2022-07-04 15:34:14.2700000,POINT (146.5015759 -42.17998448)
527,"TAS","Formal","15","Heavy Vehicle Parking Areas",,"Lyell Highway",,"Broken Leg","Eastbound","Y",,"N",,,,,"N","N","N",,,,,,-42.11499912,146.2864008,2022-07-04 15:34:14.2700000,POINT (146.2864008 -42.11499912)
542,"TAS","Formal","16","Heavy Vehicle Parking Areas",,"Lyell Highway",,"Derwent Bridge","Westbound","Y",,"N",,,,,"N","N","N",,,,,,-42.128107059999998,146.23784900000001,2022-07-04 15:34:14.2700000,POINT (146.237849 -42.12810706)
557,"TAS","Formal","17","Heavy Vehicle Parking Areas",,"Bass Highway",,"Christmas Hills","Northbound","Y",,"N",,,,,"N","N","N",,,,,,-41.493804040000001,146.612831,2022-07-04 15:34:14.2700000,POINT (146.612831 -41.49380404)
573,"TAS","Formal","18","Heavy Vehicle Parking Areas",,"Bass Highway",,"Paramatta Creek","Northbound","Y",,"N",,,,,"N","N","N",,,,,,-41.388165839999999,146.52851419999999,2022-07-04 15:34:14.2700000,POINT (146.5285142 -41.38816584)
587,"TAS","Formal","19","Heavy Vehicle Parking Areas",,"Bass Highway",,"Ulverstone Weighbridge","Southbound","Y",,"N",,,,,"N","N","N",,,,,,-41.158612359999999,146.21463230000001,2022-07-04 15:34:14.2700000,POINT (146.2146323 -41.15861236)
619,"TAS","Formal","2","Heavy Vehicle Parking Areas",,"Midland Highway",,"Springhill","Northbound","Y",,"N",,,,,"N","N","N",,,,,,-42.407063479999998,147.26155689999999,2022-07-04 15:34:14.2700000,POINT (147.2615569 -42.40706348)
620,"TAS","Formal","20","Heavy Vehicle Parking Areas",,"Bass Highway",,"Castra Road Overpass","Northbound","Y",,"N",,,,,"N","N","N",,,,,,-41.166314329999999,146.19063990000001,2022-07-04 15:34:14.2700000,POINT (146.1906399 -41.16631433)
809,"TAS","Formal","21","Heavy Vehicle Parking Areas",,"Bass Highway",,"Howth Weighbridge","Northbound","Y",,"N",,,,,"N","N","N",,,,,,-41.087560369999998,146.00878940000001,2022-07-04 15:34:14.2700000,POINT (146.0087894 -41.08756037)
824,"TAS","Formal","22","Heavy Vehicle Parking Areas",,"Bass Highway",,"Doctors Rocks","East Bound","Y",,"N",,,,,"N","N","N",,,,,,-41.014813580000002,145.7846892,2022-07-04 15:34:14.2700000,POINT (145.7846892 -41.01481358)
841,"TAS","Formal","23","Heavy Vehicle Parking Areas",,"Bass Highway",,"Wynyard Bypass","Westbound","Y",,"N",,,,,"N","N","N",,,,,,-41.010426809999998,145.77432010000001,2022-07-04 15:34:14.2700000,POINT (145.7743201 -41.01042681)
856,"TAS","Formal","24","Heavy Vehicle Parking Areas",,"Bass Highway",,"Wynyard Bypass","Eastbound","Y",,"N",,,,,"N","N","N",,,,,,-41.00365996,145.75691879999999,2022-07-04 15:34:14.2700000,POINT (145.7569188 -41.00365996)
869,"TAS","Formal","25","Heavy Vehicle Parking Areas",,"Bass Highway",,"Sisters Hills","Eastbound","Y",,"N",,,,,"N","N","N",,,,,,-40.956193929999998,145.53591829999999,2022-07-04 15:34:14.2700000,POINT (145.5359183 -40.95619393)
885,"TAS","Formal","26","Heavy Vehicle Parking Areas",,"Bass Highway",,"Sisters Hills","Westbound","Y",,"N",,,,,"N","N","N",,,,,,-40.9553929,145.53378960000001,2022-07-04 15:34:14.2700000,POINT (145.5337896 -40.9553929)
898,"TAS","Formal","27","Heavy Vehicle Parking Areas",,"Bass Highway",,"East of Stanley","Eastbound","Y",,"N",,,,,"N","N","N",,,,,,-40.840370450000002,145.28777360000001,2022-07-04 15:34:14.2700000,POINT (145.2877736 -40.84037045)
911,"TAS","Formal","28","Heavy Vehicle Parking Areas",,"Bass Highway",,"West of Stanley","Westbound","Y",,"N",,,,,"N","N","N",,,,,,-40.849563459999999,145.1821659,2022-07-04 15:34:14.2700000,POINT (145.1821659 -40.84956346)
925,"TAS","Formal","29","Heavy Vehicle Parking Areas",,"East Tamar Highway",,"Fourteen Mile Creek","Northbound","Y",,"N",,,,,"N","N","N",,,,,,-41.189722750000001,146.96424529999999,2022-07-04 15:34:14.2700000,POINT (146.9642453 -41.18972275)
954,"TAS","Formal","3","Heavy Vehicle Parking Areas",,"Midland Highway",,"St Peter's Pass","Northbound","Y",,"N",,,,,"N","N","N",,,,,,-42.279061820000003,147.3905613,2022-07-04 15:34:14.2700000,POINT (147.3905613 -42.27906182)
955,"TAS","Formal","30","Heavy Vehicle Parking Areas",,"Murchison Highway",,"Tullah","Southbound","Y",,"N",,,,,"N","N","N",,,,,,-41.745858980000001,145.6189722,2022-07-04 15:34:14.2700000,POINT (145.6189722 -41.74585898)
1083,"TAS","Formal","31","Heavy Vehicle Parking Areas",,"Frankford Main Rd",,"Saxon Creek","Eastbound","Y",,"N",,,,,"N","N","N",,,,,,-41.270320409999997,146.66697529999999,2022-07-04 15:34:14.2700000,POINT (146.6669753 -41.27032041)
1096,"TAS","Formal","32","Heavy Vehicle Parking Areas",,"Bridport Main Rd",,"Bridport Turn Off","Westbound","Y",,"N",,,,,"N","N","N",,,,,,-41.019091580000001,147.40336809999999,2022-07-04 15:34:14.2700000,POINT (147.4033681 -41.01909158)
1111,"TAS","Formal","33","Heavy Vehicle Parking Areas",,"Bridport Main Rd",,"Bridport Turn Off","Eastbound","Y",,"N",,,,,"N","N","N",,,,,,-41.018842640000003,147.39612299999999,2022-07-04 15:34:14.2700000,POINT (147.396123 -41.01884264)
1125,"TAS","Formal","34","Heavy Vehicle Parking Areas",,"Poatina Main Rd",,"Top of decline","Eastbound","Y",,"N",,,,,"N","N","N",,,,,,-41.81495864,146.85339500000001,2022-07-04 15:34:14.2700000,POINT (146.853395 -41.81495864)
1139,"TAS","Formal","35","Heavy Vehicle Parking Areas",,"Poatina Main Rd",,"West of Poatina turn-off","Westbound","Y",,"N",,,,,"N","N","N",,,,,,-41.802863090000002,146.95142290000001,2022-07-04 15:34:14.2700000,POINT (146.9514229 -41.80286309)
1153,"TAS","Formal","36","Heavy Vehicle Parking Areas",,"Lake Secondary Rd",,"Poatina Main Rd Junction","Southbound","Y",,"N",,,,,"N","N","N",,,,,,-42.027914600000003,146.82055080000001,2022-07-04 15:34:14.2700000,POINT (146.8205508 -42.0279146)
1169,"TAS","Formal","37","Lookouts","McGees Bridge","Tasman Highway",,"Midway Point",,"N",,"N",,,,,"Y","N","N",,,,,"Sealed Carpark",-42.793091750000002,147.55186130000001,2022-07-04 15:34:14.2700000,POINT (147.5518613 -42.79309175)
1184,"TAS","Formal","38","Lookouts","Hellyer Gorge State Reserve Viewpoint","Murchison Highway",,"Parrawe",,"N",,"N",,,,,"N","N","N",,,,,"Gravel Carpark",-41.282711370000001,145.59492879999999,2022-07-04 15:34:14.2700000,POINT (145.5949288 -41.28271137)
1197,"TAS","Formal","39","Lookouts","Chudleigh Scenic Viewpoint","Mole Creek Main Road",,"Chudleigh",,"N",,"N",,,,,"N","N","N",,,,,"Narrow gravel shoulder for westbound parking",-41.544120059999997,146.52274389999999,2022-07-04 15:34:14.2700000,POINT (146.5227439 -41.54412006)
1232,"TAS","Formal","4","Heavy Vehicle Parking Areas",,"Midland Highway",,"St Peter's Pass","Southbound","Y",,"N",,,,,"N","N","N",,,,,,-42.278414679999997,147.39096480000001,2022-07-04 15:34:14.2700000,POINT (147.3909648 -42.27841468)
1233,"TAS","Formal","40","Lookouts","Scenic Viewpoint","Poatina Main Road",,"Central Plateau",,"N",,"N",,,,,"N","N","N",,,,,"Gravel Carpark",-41.81495864,146.85339500000001,2022-07-04 15:34:14.2700000,POINT (146.853395 -41.81495864)
1415,"TAS","Formal","41","Lookouts","Four Mile Creek Foreshore Reserve Scenic View Lookout","Tasman Highway",,"Falmouth",,"N",,"N",,,,,"N","N","N",,,,,"Gravel Carpark",-41.54525409,148.28233270000001,2022-07-04 15:34:14.2700000,POINT (148.2823327 -41.54525409)
1430,"TAS","Formal","42","Lookouts","Rail Line Rest Area","Esk Main Road",,"Conara",,"N",,"N",,,,,"N","Y","N",,,,,"Gravel Carpark",-41.825386590000001,147.50787700000001,2022-07-04 15:34:14.2700000,POINT (147.507877 -41.82538659)
