"REPORT_ID","Suburb","LGA Name","Total Units","Total Cas","Total Fats","Total SI","Total MI","Year","Month","Day","Time","Area Speed","Road Surface","Moisture Cond","Weather Cond","DayNight","Crash Type","Unit Resp","DUI Involved","Drugs Involved","ACCLOC_X","ACCLOC_Y"
"2020-3-19/09/2025","PENFIELD","CITY OF PLAYFORD.",2,1,0,0,1,2020,"January","Wednesday","09:40 am",90,"Sealed","Dry","Not Raining","Daylight","Hit Fixed Object",1,,,1330196.48,1695352.21
"2020-4-19/09/2025","ASHTON","THE ADELAIDE HILLS COUNCIL",1,1,0,0,1,2020,"January","Wednesday","12:30 pm",80,"Sealed","Dry","Not Raining","Daylight","Left Road - Out of Control",9,,,1342197.77,1668507.65
"2020-5-19/09/2025","PORT AUGUSTA","CC PT.AUGUSTA.",2,1,0,0,1,2020,"January","Wednesday","12:41 pm",60,"Sealed","Dry","Not Raining","Daylight","Hit Pedestrian",2,,,1260584.33,1942592.34
"2020-6-19/09/2025","TAPEROO","CITY OF PORT ADELAIDE ENFIELD",2,1,1,0,0,2020,"January","Wednesday","12:58 pm",50,"Sealed","Dry","Not Raining","Daylight","Hit Pedestrian",1,,,1320107.99,1683967.64
"2020-8-19/09/2025","ADELAIDE","CITY OF ADELAIDE",2,1,0,0,1,2020,"January","Wednesday","03:05 pm",60,"Sealed","Dry","Not Raining","Daylight","Rear End",2,,,1329403.84,1669354.48
"2020-12-19/09/2025","EDINBURGH NORTH","CITY OF PLAYFORD.",2,1,0,0,1,2020,"January","Wednesday","06:45 pm",80,"Sealed","Dry","Not Raining","Daylight","Hit Fixed Object",1,"Y",,1333888.71,1694789.04
"2020-13-19/09/2025","CLELAND","THE ADELAIDE HILLS COUNCIL",2,1,0,0,1,2020,"January","Thursday","12:15 am",80,"Sealed","Dry","Not Raining","Night","Hit Fixed Object",1,,,1338748.18,1666024.76
"2020-15-19/09/2025","GLENGOWRIE","CC MARION.",2,2,0,1,1,2020,"January","Thursday","10:30 am",60,"Sealed","Dry","Not Raining","Daylight","Right Angle",2,,,1322685.73,1663658.54
"2020-17-19/09/2025","LOXTON","LOXTON WAIKERIE DISTRICT COUNCIL",2,1,0,0,1,2020,"January","Thursday","11:00 am",60,"Sealed","Dry","Not Raining","Daylight","Right Angle",1,,,1511887.27,1716172.39
"2020-19-19/09/2025","FULHAM GARDENS","CITY OF CHARLES STURT",2,1,0,0,1,2020,"January","Thursday","12:40 pm",60,"Sealed","Dry","Not Raining","Daylight","Right Angle",2,,"Y",1320843.84,1671264.14
"2020-21-19/09/2025","HACKHAM","CITY OF ONKAPARINGA",2,3,0,3,0,2020,"January","Thursday","01:25 pm",50,"Sealed","Dry","Not Raining","Daylight","Head On",1,,,1321874.47,1646010.04
"2020-22-19/09/2025","FULHAM","CITY OF WEST TORRENS",3,6,0,0,6,2020,"January","Thursday","02:19 pm",60,"Sealed","Dry","Not Raining","Daylight","Rear End",1,,"Y",1320979.69,1670811.71
"2020-25-19/09/2025","OAKLANDS PARK","CC MARION.",2,1,0,0,1,2020,"January","Wednesday","07:10 pm",50,"Sealed","Dry","Not Raining","Daylight","Hit Parked Vehicle",2,,,1323302.6,1662360.34
"2020-27-19/09/2025","RIDLEYTON","CITY OF CHARLES STURT",3,2,0,0,2,2020,"January","Thursday","03:27 pm",60,"Sealed","Dry","Not Raining","Daylight","Rear End",1,,,1325915.28,1674895.89
"2020-30-19/09/2025","CROMER","THE ADELAIDE HILLS COUNCIL",2,1,0,0,1,2020,"January","Thursday","02:15 pm",100,"Sealed","Dry","Not Raining","Daylight","Right Angle",2,,,1361394.91,1684498.8
"2020-36-19/09/2025","GLENALTA","CC MITCHAM.",2,2,0,2,0,2020,"January","Friday","01:40 am",60,"Sealed","Dry","Not Raining","Night","Hit Fixed Object",1,"Y",,1331219.6,1661407.72
"2020-41-19/09/2025","PARADISE","CC CAMPBELLTOWN.",2,1,0,0,1,2020,"January","Friday","09:25 am",60,"Sealed","Dry","Not Raining","Daylight","Right Turn",1,,,1335179.94,1675919.29
"2020-42-19/09/2025","OAKDEN","CITY OF PORT ADELAIDE ENFIELD",3,1,0,0,1,2020,"January","Friday","10:24 am",70,"Sealed","Dry","Not Raining","Daylight","Rear End",1,,,1332054.77,1679297.82
"2020-46-19/09/2025","RENOWN PARK","CITY OF CHARLES STURT",2,1,0,0,1,2020,"January","Thursday","03:40 pm",50,"Sealed","Dry","Not Raining","Daylight","Rear End",2,,,1327125.2,1674453.59
"2020-47-19/09/2025","WOODVILLE WEST","CITY OF CHARLES STURT",2,2,0,0,2,2020,"January","Friday","02:15 pm",60,"Sealed","Dry","Not Raining","Daylight","Right Angle",1,,,1322339.31,1676164.63
"2020-51-19/09/2025","BRAHMA LODGE","CITY OF SALISBURY",2,3,0,0,3,2020,"January","Friday","05:34 pm",60,"Sealed","Dry","Not Raining","Daylight","Right Angle",2,,,1334611.99,1687284.65
