# ============================================================================
# EXERCISE 4.3 - SAMPLE ENERGY CONSUMPTION DATA
# ============================================================================
# This CSV file contains sample data for demonstrating D3.js bar chart creation
# Data Structure:
# - Column 1 (appliance): Category labels for x-axis (text/string values)
# - Column 2 (consumption): Numeric values for y-axis (energy in kWh per month)
#
# Data Source: Representative household appliance energy consumption values
# Usage: Loaded by tv_chart1.js using d3.csv() for interactive visualization
# Chart Type: Vertical bar chart with hover tooltips and animations
# ============================================================================
appliance,consumption
TV,150
Refrigerator,800
Washing Machine,500
Dishwasher,350
Air Conditioner,1200
Microwave,180
Computer,120
Gaming Console,95
Sound System,75
Electric Kettle,220
